Category,Unknown,Type,Appearance,pH,Reaction with Water,Reaction with HCl,Reaction with I2,Other Observation,Odor,Apply Magnet,Microscope View,Apply a Flame,Buoyancy in Water,Buoyancy in 46% IPA,Buoyancy in Vegetable Oil,Buoyancy in 10% NaCl,Buoyancy in Saturated NaCl
Qualitative Analysis,Alka-Seltzer,"Solid, non-metal",Powder,6,Fizzes,Fizzes,Stains pale yellow,Crumbles,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed
Qualitative Analysis,Baking Soda,"Solid, non-metal",Powder,8,Soluble,Fizzes,Stains pale yellow,Sheen,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed
Qualitative Analysis,Calcium Carbonate,"Solid, non-metal",Powder,6,Insoluble,Fizzes,Stains pale yellow,Precipitates,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed
Qualitative Analysis,Cornstarch,"Solid, non-metal",Powder,8,Soluble,No reaction,Turns blue,Smooth in water,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed
Qualitative Analysis,Flour,"Solid, non-metal",Powder,6,Soluble,No reaction,Turns blue,Lumpy in water,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed
Qualitative Analysis,Gelatin,"Solid, non-metal",Crystal,6,Soluble,No reaction,Stains pale yellow,"Jelly like, pale yellowish cast",Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed
Qualitative Analysis,Gypsum,"Solid, non-metal",Powder,6,Soluble,No reaction,Stains pale yellow,Bubbles in water,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed
Qualitative Analysis,Salt,"Solid, non-metal",Crystal,7,Soluble,No reaction,Stains pale yellow,Uniform cubes,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed
Qualitative Analysis,Sand,"Solid, non-metal",Crystal,6,Insoluble,No reaction,Stains pale yellow,"Irregular cubes, does not crumble",Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed
Qualitative Analysis,Sugar,"Solid, non-metal",Crystal,7,Soluble,No reaction,Stains pale yellow,Irregular cubes ,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed,Test not performed
